id;store_name;store_status;timestamp
1;Unbranded Wooden Shirt repurpose;Keyboard Accounts;2021-01-24T16:51:20
2;Horizontal Soft Tennessee;Cotton collaborative implementation;2021-01-25T07:35:39
3;Cheese Vista;Quality-focused sensor;2021-01-24T22:22:26
4;Pants;Wooden payment;2021-01-24T14:04:07
5;middleware;Michigan COM Horizontal;2021-01-25T08:16:50
6;Future Shirt Awesome Granite Chicken;system driver;2021-01-25T02:29:38
7;digital;1080p alarm Lock;2021-01-24T19:52:20
8;Jordanian Dinar access Tala;generating Jewelery payment;2021-01-24T20:46:44
9;Corporate Cotton;task-force South Carolina;2021-01-25T10:24:15
10;Digitized parsing Course;synergize;2021-01-25T09:22:34
